sep=;
"";"id";"title";"category"
"1";"SCCS1756";"Size of Local Community";"Subsistence, Kinship, Politics"
"2";"SCCS1123";"Major Agricultural Staple";"Subsistence"
"3";"SCCS1862";"Highest Number Counted";"Economy, Subsistence"
"4";"SCCS917";"Historical Frame for Pinpointing Date Where Slaveholding Present";"Economy, Labour, Politics"
"5";"SCCS65";"Types of Dwelling";"Settlement, Community"
"6";"SCCS1753";"Depth of Unilineal Descent";"Subsistence, Kinship, Politics"
"7";"SCCS644";"Patterns for Siblings-in-law";"Kinship"
"8";"SCCS1445";"Secondary Crop Name";"Household, Labour, Gender"
"9";"SCCS94";"Political Power - Second Most Important Source";"Politics"
"10";"SCCS204";"Subsistence economy: hunting [Note, identical to EA002]";"Subsistence, Economy"
"11";"SCCS1122";"Log10 of Total Population";"Population"
"12";"SCCS833";"Subsistence Economy: Dominant Mode";"Subsistence, Economy"
"13";"SCCS86";"Selection of Executive";"Politics"
"14";"SCCS206";"Subsistence economy: animal husbandry [Note, identical to EA004]";"Subsistence, Economy"
"15";"SCCS285";"House construction: wall material [Note, identical to EA081]";"Community organization, Housing, Ecology"
"16";"SCCS1349";"Primary Crop Name";"Household, Labour, Gender"
"17";"SCCS1649";"Frequency of Internal Warfare (Resolved Rating)";"Warfare, Politics"
"18";"SCCS290";"House construction (secondary house type): wall material [Note, identical to EA086]";"Community organization, Housing, Ecology"
"19";"SCCS642";"Patterns for Siblings";"Kinship"
"20";"SCCS93";"Political Power - Most Important Source";"Politics"
"21";"SCCS2002";"World Religions (1807)";"Life cycle, Mourning, Death, Ritual, Religion"
"22";"SCCS1716";"Primary Source of Subsistence";"Subsistence, Kinship, Politics"
"23";"SCCS1125";"Second Agricultural Staple";"Subsistence"
"24";"SCCS207";"Subsistence economy: agriculture [Note, identical to EA005]";"Subsistence, Economy"
"25";"SCCS1260";"Pathogen stress: Total Pathogen Stress";"Health, Ecology"
"26";"SCCS1648";"Overall Frequency of Warfare (Resolved Rating)";"Warfare, Politics"
"27";"SCCS215";"Marital residence with kin: prevailing pattern [Note, identical to EA012]";"Marriage, Kinship"
"28";"SCCS246";"Subsistence economy: dominant activity [Note, identical to EA042]";"Subsistence, Economy"
"29";"SCCS1650";"Frequency of External Warfare (Resolved Rating)";"Warfare, Politics"
"30";"SCCS95";"Political Power - Third Most Important Source";"Politics"
"31";"SCCS933";"Sleeping Arrangements of Adolescent Females: Where Unmarried but Sexually Mature Females Sleep in Relation to Sexually Mature Males in the Living Quarters";"Marriage, Life cycle"
"32";"SCCS1949";"Ritualization up to and including Initial Disposal";"Life cycle, Mourning, Death, Ritual, Religion"
"33";"SCCS1655";"Outcomes regarding Land in Internal Warfare";"Warfare, Politics"
"34";"SCCS397";"Principal Non-parental Disciplinarians: Early Boy";"Childhood, Life cycle"
"35";"SCCS957";"Rationale for Infanticide. Each Category Indicates a Reason for Which an Infant Might Be Killed";"Marriage, Life cycle"
"36";"SCCS400";"Principal Non-parental Disciplinarians: Late Girl";"Childhood, Life cycle"
"37";"SCCS235";"Mean size of local communities [Note, identical to EA031]";"Community organization, Population, Settlement"
"38";"SCCS943";"Special Segregation at Birth: Location of the Woman When She Gives Birth: Where the Birth of the First Child Takes Place";"Marriage, Life cycle"
"39";"SCCS641";"Patterns for Nephews and Nieces (Male Speaking)";"Kinship"
"40";"SCCS398";"Principal Non-parental Disciplinarians: Early Girl";"Childhood, Life cycle"
"41";"SCCS244";"Domestic animals: type [Note, identical to EA040]";"Subsistence, Ecology"
"42";"SCCS399";"Principal Non-parental Disciplinarians: Late Boy";"Childhood, Life cycle"
"43";"SCCS64";"Population Density (from Murdock and Wilson Data)";"Settlement, Community"
"44";"SCCS203";"Subsistence economy: gathering [Note, identical to EA001]";"Subsistence, Economy"
"45";"SCCS6";"Animals - Domesticated";"Subsistence, Economy"
"46";"SCCS526";"Control by Caretakers - Overall: Boy";"Childhood, Life cycle"
"47";"SCCS1985";"Amount of Grief after End of Mourning";"Life cycle, Mourning, Death, Ritual, Religion"
"48";"SCCS1005";"Incomplete Continuity for Both Boys and Girls without Regard for Gender: Age";"Childhood, Life cycle"
"49";"SCCS232";"Agriculture: intensity [Note, identical to EA028]";"Subsistence, Economy"
"50";"SCCS955";"Rationale for Abortions";"Marriage, Life cycle"
"51";"SCCS730";"Importance of Hunting and Gathering in Subsistence";"Gender"
"52";"SCCS756";"(Low) Political Role Differentiation: Full Time Specialists and Their Differentiation from Others in the Society";"Politics"
"53";"SCCS981";"Rights over Offspring after Divorce";"Marriage, Life cycle"
"54";"SCCS733";"Contribution of the Sexes to Agriculture";"Gender"
"55";"SCCS953";"Contraception: Knowledge and Use of Means to Prevent the Conception of Children";"Marriage, Life cycle"
"56";"SCCS519";"Control by Caretakers - Mother: Aver";"Childhood, Life cycle"
"57";"SCCS264";"Sex differences: agriculture [Note, identical to EA054]";"Labour, Gender, Economy"
"58";"SCCS92";"Selection of Subordinate Officials";"Politics"
"59";"SCCS278";"Inheritance rule for real property (land) [Note, identical to EA074]";"Property, Wealth Transactions, Economy"
"60";"SCCS251";"Sex differences: pottery making [Note, identical to EA047]";"Labour, Gender, Economy"
"61";"SCCS964";"Punishment for Extramarital Sex";"Marriage, Life cycle"
"62";"SCCS978";"Grounds for Divorce: Wife's Reasons given for Dissolving a Marriage";"Marriage, Life cycle"
"63";"SCCS951";"Explanation of Barrenness";"Marriage, Life cycle"
"64";"SCCS1950";"Amount of Contact by Bereaved with Corpse";"Life cycle, Mourning, Death, Ritual, Religion"
"65";"SCCS1946";"Sex Difference, Actual Self-mutilation";"Life cycle, Mourning, Death, Ritual, Religion"
"66";"SCCS19";"Preservation and Storage of Food";"Subsistence, Economy"
"67";"SCCS1234";"Younger Brother's Wife and Husband's Elder Brother";"Kinship"
"68";"SCCS96";"Political Power - Fourth Most Important Source";"Politics"
"69";"SCCS263";"Sex differences: animal husbandry [Note, identical to EA053]";"Labour, Gender, Economy"
"70";"SCCS1718";"Sharing of Food";"Subsistence, Kinship, Politics"
"71";"SCCS68";"Form of Family (See 79, 80)";"Settlement, Community"
"72";"SCCS455";"Corporal Punishment: Late Boys";"Childhood, Life cycle"
"73";"SCCS834";"Subsistence Economy: Subsidiary Mode";"Subsistence, Economy"
"74";"SCCS111";"Food Production: Crop Tending (sexual division of labor)";"Economy, Labour"
"75";"SCCS234";"Settlement patterns [Note, identical to EA030]";"Community organization, Housing, Settlement"
"76";"SCCS63";"Community Size";"Settlement, Community"
"77";"SCCS931";"Female Physical Appearance during the Daily Routine (Not Temporary Occasions Such as Ceremonial Gatherings)";"Marriage, Life cycle"
"78";"SCCS991";"Importance of Fathers for Both Boys and Girls, without Regard to Gender";"Childhood, Life cycle"
"79";"SCCS213";"Marital residence with kin: first years [Note, identical to EA010]";"Marriage, Kinship"
"80";"SCCS9";"Hunting - Contribution to Food Supply";"Subsistence, Economy"
"81";"SCCS1658";"Outcomes regarding Nonland Resources in Internal Warfare";"Warfare, Politics"
"82";"SCCS979";"Grounds for Divorce: Husband's Reasons given for Dissolving a Marriage";"Marriage, Life cycle"
"83";"SCCS89";"Judiciary";"Politics"
"84";"SCCS260";"Sex differences: gathering [Note, identical to EA050]";"Labour, Gender, Economy"
"85";"SCCS1130";"Population Density (from Pryor Data)";"Subsistence"
"86";"SCCS1605";"Children Tend Fires";"Household, Labour, Gender"
"87";"SCCS949";"Participants in the Birth Celebration. the Code Indicates the Most Extensive Group Which Participates in the Celebration of Birth";"Marriage, Life cycle"
"88";"SCCS115";"Food Production: Milking (sexual division of labor)";"Economy, Labour"
"89";"SCCS501";"Hostility and Aggression of Caretakers - Others: Aver";"Childhood, Life cycle"
"90";"SCCS237";"Jurisdictional hierarchy beyond local community [Note, identical to EA033]";"Community organization, Politics"
"91";"SCCS963";"Restrictions and Extramarital Sex";"Marriage, Life cycle"
"92";"SCCS456";"Corporal Punishment: Late Girls";"Childhood, Life cycle"
"93";"SCCS333";"Sexual Restraint: Late Girl";"Childhood, Life cycle"
"94";"SCCS527";"Control by Caretakers - Overall: Girl";"Childhood, Life cycle"
"95";"SCCS5";"Animal Husbandry - Contribution to Food Supply";"Subsistence, Economy"
"96";"SCCS705";"Settlement Type";"Gender"
"97";"SCCS1740";"Levels of Political Hierarchy";"Subsistence, Kinship, Politics"
"98";"SCCS13";"Land Transport (Especially regarding Food Transport)";"Subsistence, Economy"
"99";"SCCS154";"Scale 6- Land Transport";"Modernization, Economy"
"100";"SCCS485";"Warmth and Affection of Caretakers - Father: Girl";"Childhood, Life cycle"
"101";"SCCS239";"Games [Note, identical to EA035]";"Games"
"102";"SCCS208";"Transactions at marriage: prevailing type [Note, identical to EA006]";"Marriage, Kinship, Wealth Transactions, Economy"
"103";"SCCS1233";"Elder Brother's Wife and Husband's Younger Brother";"Kinship"
"104";"SCCS996";"Importance of Siblings (Usually Older Sisters) for Both Boys and Girls, without Regard to Gender";"Childhood, Life cycle"
"105";"SCCS88";"Advisory Bodies";"Politics"
"106";"SCCS395";"Non-parental Involvement in Discipline: Late Boy";"Childhood, Life cycle"
"107";"SCCS1132";"Political Integration (Wes Col 15; EA Var 89)";"Subsistence"
"108";"SCCS112";"Food Production: Harvesting (sexual division of labor)";"Economy, Labour"
"109";"SCCS205";"Subsistence economy: fishing [Note, identical to EA003]";"Subsistence, Economy"
"110";"SCCS1945";"Sex Difference, Attempted Self-mutilation";"Life cycle, Mourning, Death, Ritual, Religion"
"111";"SCCS934";"Married Women: Where Spouses Sleep in the Living Quarters";"Marriage, Life cycle"
"112";"SCCS276";"Political succession [Note, identical to EA072]";"Politics, Leadership"
"113";"SCCS969";"Choice of Spouse: Social Restrictions Which Limit an Individual's Choice of Whom He Can Marry";"Marriage, Life cycle"
"114";"SCCS1656";"Outcomes regarding Land in External Warfare";"Warfare, Politics"
"115";"SCCS939";"Personal Restrictions or Regular Menstruation";"Marriage, Life cycle"
"116";"SCCS1235";"Wife's Elder Sister and Younger Sister's Husband";"Kinship"
"117";"SCCS932";"Male Physical Appearance during the Daily Routine (Not Temporary Occasions Such as Ceremonial Gatherings)";"Marriage, Life cycle"
"118";"SCCS1128";"Cropping Index (Rough Indicator of Fallowing) for Major Crops";"Subsistence"
"119";"SCCS298";"Aggression: Early Boy";"Childhood, Life cycle"
"120";"SCCS1746";"Sources of Legitimation of Power";"Subsistence, Kinship, Politics"
"121";"SCCS1752";"Groom's Dependency on Relatives for Marriage Transactions";"Subsistence, Kinship, Politics"
"122";"SCCS960";"Violation of the Incest Taboo";"Marriage, Life cycle"
"123";"SCCS157";"Scale 9- Political Integration";"Modernization, Economy"
"124";"SCCS918";"Manumission of Slaves";"Economy, Labour, Politics"
"125";"SCCS153";"Scale 5- Technological Specialization";"Modernization, Economy"
"126";"SCCS977";"Finality: Factors That Are Important for the Firm Establishment of a Marriage";"Marriage, Life cycle"
"127";"SCCS570";"Fraternal Interest Group Strength";"Ritual, Life cycle"
"128";"SCCS734";"Contribution of the Sexes to Animal Husbandry";"Gender"
"129";"SCCS522";"Control by Caretakers - Father: Aver";"Childhood, Life cycle"
"130";"SCCS936";"Individual Ordeal Involved at the Onset of the Menses. the Categories Are Arranged According to the Severity of the Ordeal";"Marriage, Life cycle"
"131";"SCCS1942";"Degree of Fear of Ghost";"Life cycle, Mourning, Death, Ritual, Religion"
"132";"SCCS1717";"Secondary Source of Subsistence";"Subsistence, Kinship, Politics"
"133";"SCCS1231";"Mother's Brother's Son and Father's Sister's Son";"Kinship"
"134";"SCCS1748";"Frequency of Internal Warfare; i.e. between Local Communities within Unit of Maximal Political Authority";"Subsistence, Kinship, Politics"
"135";"SCCS1947";"Sex Difference, Anger and Aggression";"Life cycle, Mourning, Death, Ritual, Religion"
"136";"SCCS292";"House construction (secondary house type): roofing materials [Note, identical to EA088]";"Community organization, Housing, Ecology"
"137";"SCCS699";"Political Organization (Adapted from Murdock 1961, P. 207)";"Gender"
"138";"SCCS975";"The Rights Transferred by Women at Marriage";"Marriage, Life cycle"
"139";"SCCS77";"Local Political Succession, Primary";"Settlement, Community"
"140";"SCCS250";"Sex differences: leather working [Note, identical to EA046]";"Labour, Gender, Economy"
"141";"SCCS1729";"Presence of an Overarching Political Unit";"Subsistence, Kinship, Politics"
"142";"SCCS299";"Aggression: Early Girl";"Childhood, Life cycle"
"143";"SCCS249";"Sex differences: weaving [Note, identical to EA045]";"Labour, Gender, Economy"
"144";"SCCS640";"Patterns for Aunts";"Kinship"
"145";"SCCS1948";"Importance of Ritual Specialists up to and including Initial Body Disposal";"Life cycle, Mourning, Death, Ritual, Religion"
"146";"SCCS151";"Scale 3- Agriculture";"Modernization, Economy"
"147";"SCCS962";"Violation of Restrictions on Premarital Sex. Each Category Specifies the Consequences a Woman Faces If She Violates a Premarital Sex Prohibition";"Marriage, Life cycle"
"148";"SCCS114";"Food Production: Large Domestic Animals (sexual division of labor)";"Economy, Labour"
"149";"SCCS383";"Principal Non-parental Authority Figures: Late Boy";"Childhood, Life cycle"
"150";"SCCS61";"Fixity of Settlement";"Settlement, Community"
"151";"SCCS381";"Principal Non-parental Authority Figures: Early Boy";"Childhood, Life cycle"
"152";"SCCS81";"Political Autonomy";"Politics"
"153";"SCCS711";"Societal Complexity (Guttman Scale - Freeman and Winch 1957)";"Gender"
"154";"SCCS484";"Warmth and Affection of Caretakers - Father: Boy";"Childhood, Life cycle"
"155";"SCCS227";"Cousin marriages permitted [Note, identical to EA023]";"Marriage, Kinship"
"156";"SCCS334";"Generosity";"Childhood, Life cycle"
"157";"SCCS836";"Rule of Descent: Primary";"Kinship"
"158";"SCCS451";"Warning: Late Boys";"Childhood, Life cycle"
"159";"SCCS452";"Warning: Late Girls";"Childhood, Life cycle"
"160";"SCCS324";"Obedience: Late Boy";"Childhood, Life cycle"
"161";"SCCS1236";"Wife's Younger Sister and Elder Sister's Husband";"Kinship"
"162";"SCCS109";"Food Production: Soil Preparation (sexual division of labor)";"Economy, Labour"
"163";"SCCS983";"Property Exchanges after Divorce. Ranked in Order of the Amount of Financial Loss Incurred by the Wife When a Divorce Occurs";"Marriage, Life cycle"
"164";"SCCS736";"Contribution of the Sexes to Hunting and Gathering";"Gender"
"165";"SCCS764";"(Few) Decision Making Bodies: How Most Decisions Are Made";"Politics"
"166";"SCCS280";"Inheritance distribution for real property (land) [Note, identical to EA075]";"Property, Wealth Transactions, Economy"
"167";"SCCS453";"Corporal Punishment: Early Boys";"Childhood, Life cycle"
"168";"SCCS1230";"Wife's Brother's Daughter and Father's Sister's Husband";"Kinship"
"169";"SCCS751";"(Low) Privacy in Sleeping for Husbands and Wives (Only If Husband and Wife Sleep in Same Room)";"Gender, Marriage"
"170";"SCCS427";"Guidance or Formal Schooling: Late Boys";"Childhood, Life cycle"
"171";"SCCS128";"Intermediate Processing: Loom Weaving (sexual division of labor)";"Economy, Labour"
"172";"SCCS325";"Obedience: Late Girl";"Childhood, Life cycle"
"173";"SCCS1747";"Frequency of External Warfare: Unit of Maximal Political Authority";"Subsistence, Kinship, Politics"
"174";"SCCS91";"Administrative Hierarchy";"Politics"
"175";"SCCS76";"Community Leadership";"Settlement, Community"
